STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,EVAP,PRCP,TMAX,TMIN,WDMV
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/15/13,5.6,0,22.2,12.2,195
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/16/13,8.1,0,28.3,13.3,163
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/17/13,4.8,0,30,18.9,109
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/18/13,7.9,0,31.1,20,220
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/19/13,11.7,50.8,28.9,6.1,285
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/20/13,5.6,0,12.8,1.7,126
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/21/13,3.3,0,18.9,2.8,71
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/22/13,7.1,0,21.7,5.6,100
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/23/13,7.1,0,23.9,7.8,109
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/24/13,13.2,33.3,25,6.7,224
USC00404561,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,4/25/13,3,1,12.2,1.1,97
US",35.6213,-88.8456,121.9,4/25/13,3,1,12.2,1.1,97
US",35.6213,-88.8456,121.9,4/66/13,3,1,12.2,1.1,97
US",35.6213,-88.8456,121.9,4/66/13,3,1,12.2,1.1,97 #new Data added
